time,spo2
1721884469.047,99,
1721884470.541,99,
1721884471.53,99,
1721884472.041,99,
1721884473.028,99,
1721884474.042,99,
1721884476.046,99,
1721884479.057,99,
1721884480.045,99,
1721884481.02,98,
1721884482.536,98,
1721884483.539,98,
1721884484.543,98,
1721884485.538,98,
1721884486.036,98,
1721884487.535,98,
1721884488.548,98,
1721884490.054,98,
1721884491.53,98,
1721884492.505,98,
1721884493.487,98,
1721884493.988,98,
1721884494.974,98,
1721884496.983,98,
1721884497.987,98,
1721884498.968,98,
1721884499.963,98,
1721884501.469,98,
1721884502.481,98,
1721884502.967,98,
1721884504.466,98,
1721884504.968,98,
1721884507.492,98,
1721884507.991,98,
1721884509.493,98,
1721884509.98,98,
1721884510.986,98,
1721884511.964,98,
1721884512.982,98,
1721884513.978,98,
1721884514.963,98,
1721884516.446,98,
1721884517.455,98,
1721884517.96,98,
1721884518.962,98,
1721884519.932,98,
1721884521.452,98,
1721884521.973,98,
1721884522.969,98,
1721884524.961,98,
1721884526.928,98,
1721884528.414,98,
1721884528.904,98,
1721884529.897,98,
1721884530.89,98,
1721884531.892,98,
1721884532.885,98,
1721884534.373,98,
1721884534.858,98,
1721884535.859,98,
1721884535.847,98,
1721884536.854,98,
1721884537.849,98,
1721884539.869,98,
1721884540.862,98,
1721884540.846,98,
1721884541.811,98,
1721884542.823,98,
1721884544.352,98,
1721884544.857,98,
1721884546.868,98,
1721884548.369,98,
1721884547.855,98,
1721884549.324,98,
1721884549.815,98,
1721884551.81,98,
1721884552.783,98,
1721884554.798,97,
1721884555.768,97,
1721884557.275,97,
1721884557.782,97,
1721884559.289,97,
1721884559.789,97,
1721884560.789,97,
1721884561.79,97,
1721884563.257,97,
1721884563.743,97,
1721884564.731,97,
1721884567.673,97,
1721884568.672,97,
1721884569.691,97,
1721884570.693,97,
1721884571.703,97,
1721884572.686,97,
1721884576.717,97,
1721884577.719,97,
1721884580.249,97,
1721884580.743,97,
1721884581.751,97,
1721884582.752,97,
1721884583.768,97,
1721884584.756,97,
1721884586.73,97,
1721884585.74,97,
1721884587.768,97,
1721884588.782,97,
1721884589.782,97,
1721884590.778,97,
1721884591.774,97,
1721884592.754,97,
1721884594.246,97,
1721884594.745,97,
1721884596.25,97,
1721884596.738,97,
1721884597.722,97,
1721884598.726,97,
1721884599.734,97,
1721884600.698,97,
1721884601.662,97,
1721884602.669,97,
1721884604.163,97,
1721884604.659,97,
1721884606.136,97,
1721884607.642,97,
1721884608.668,97,
1721884609.673,97,
1721884610.685,97,
1721884611.664,97,
1721884612.689,97,
1721884612.689,97,
1721884612.705,97,
1721884612.73,97,
1721884612.711,97,
1721884612.719,97,
1721884613.206,97,
1721884612.709,97,
1721884620.698,99,
1721884621.701,99,
1721884622.692,99,
1721884623.697,99,
1721884624.721,99,
1721884626.699,99,
1721884627.685,99,
1721884630.14,99,
1721884630.646,99,
1721884631.632,99,
1721884632.632,99,
1721884633.617,99,
1721884634.615,99,
1721884635.612,99,
1721884637.1,99,
1721884638.1,99,
1721884639.097,99,
1721884639.59,99,
1721884641.116,99,
1721884642.104,99,
1721884642.6,99,
1721884643.57,99,
1721884645.051,99,
1721884645.55,99,
1721884646.552,99,
1721884647.544,99,
1721884648.541,99,
1721884650.03,99,
1721884650.523,99,
1721884651.016,99,
1721884651.024,99,
1721884650.53,99,
1721884651.047,99,
1721884650.545,99,
1721884650.54,99,
1721884651.029,99,
1721884650.503,99,
1721884650.507,99,
1721884650.499,99,
1721884650.473,99,
1721884650.467,99,
1721884650.46,99,
1721884650.441,99,
1721884650.414,99,
1721884650.382,99,
1721884671.392,97,
1721884672.398,97,
1721884673.387,97,
1721884674.363,97,
1721884676.333,97,
1721884677.846,97,
1721884678.34,97,
1721884679.349,97,
1721884680.349,97,
1721884681.359,98,
1721884682.819,97,
1721884683.31,97,
1721884684.3,97,
1721884685.309,97,
1721884686.332,97,
1721884687.327,97,
1721884688.329,97,
1721884689.317,97,
1721884690.818,97,
1721884692.317,97,
1721884693.334,97,
1721884694.317,97,
1721884695.33,97,
1721884696.342,97,
1721884697.872,97,
1721884698.356,97,
1721884699.347,97,
1721884701.345,97,
1721884703.823,97,
1721884704.325,97,
1721884705.337,97,
1721884706.35,97,
1721884707.352,97,
1721884708.346,98,
1721884709.336,98,
1721884710.313,98,
1721884711.307,98,
1721884713.288,98,
1721884714.291,99,
1721884715.269,99,
1721884716.265,99,
1721884717.242,99,
1721884718.213,99,
1721884719.694,99,
1721884721.192,99,
1721884723.175,99,
1721884724.16,99,
1721884725.154,99,
1721884726.635,99,
1721884727.126,99,
1721884728.129,99,
1721884729.145,99,
1721884730.141,99,
1721884731.146,99,
1721884732.148,99,
1721884733.133,99,
1721884734.114,99,
1721884735.128,99,
1721884736.109,99,
1721884738.078,99,
1721884740.076,99,
1721884742.582,99,
1721884743.591,99,
1721884744.562,99,
1721884745.55,99,
1721884746.041,99,
1721884747.512,99,
1721884748.005,99,
1721884749.007,99,
1721884749.982,99,
1721884750.961,99,
1721884752.94,99,
1721884753.946,99,
1721884755.906,99,
1721884757.808,99,
1721884759.332,99,
1721884759.825,99,
1721884760.816,99,
1721884763.3,99,
1721884763.805,99,
1721884765.284,99,
1721884765.78,99,
1721884766.782,99,
1721884767.775,99,
1721884768.787,99,
1721884770.791,99,
1721884771.818,99,
1721884772.817,99,
1721884773.812,98,
1721884774.807,98,
1721884775.822,98,
1721884777.317,98,
1721884777.833,98,
1721884779.341,98,
1721884779.846,98,
1721884780.845,98,
1721884781.841,98,
1721884782.848,98,
1721884783.849,98,
1721884785.351,98,
1721884786.35,98,
1721884787.366,98,
1721884787.858,98,
1721884788.86,98,
1721884789.854,98,
1721884791.847,98,
1721884792.852,98,
1721884793.843,98,
1721884794.854,98,
1721884796.342,98,
1721884796.84,98,
1721884797.839,98,
1721884799.821,98,
1721884800.823,98,
1721884801.834,97,
1721884803.331,97,
